ID,Text,Label,Vulnerability Type,Timestamp
92,Data leakage prevention alert triggered by outbound sensitive data,1,Ransomware,2024-09-21 21:35:00
93,Detected SQL injection attempt on website query /login.php,1,Brute Force,2024-09-21 21:40:00
94,Data exfiltration detected to external IP 13.55.112.122 via DNS tunneling,1,Unauthorized Access,2024-09-21 21:45:00
95,Exploit attempt detected using outdated library version on web service,1,Packet Flooding,2024-09-21 21:50:00
96,Detected unauthorized software installation on company workstation,1,ARP Spoofing,2024-09-21 21:55:00
97,Malicious script execution attempt detected on /admin panel,1,ARP Spoofing,2024-09-21 22:00:00
98,Malicious script execution attempt detected on /admin panel,1,Packet Flooding,2024-09-21 22:05:00
99,Unusual outbound traffic detected from internal server to external IP 54.38.212.1,1,Sensitive Data Leak,2024-09-21 22:10:00
100,Data exfiltration detected to external IP 13.55.112.122 via DNS tunneling,0,None,2024-09-21 22:15:00
101,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,Port Scanning,2024-09-21 22:20:00
102,Unencrypted sensitive data transmission detected from port 25 to port 587,1,Privilege Escalation,2024-09-21 22:25:00
103,Traffic spike on port 443 with unusual packet sizes from 162.243.58.60,1,Exploit,2024-09-21 22:30:00
104,Failed SSH login attempt from IP 45.33.32.156 with multiple retries,1,Sensitive Data Leak,2024-09-21 22:35:00
105,Multiple packets dropped due to suspicious activity from IP 10.0.0.1,1,ARP Spoofing,2024-09-21 22:40:00
106,Normal traffic from 192.168.0.1 to 192.168.0.10 on port 443,1,DDoS,2024-09-21 22:45:00
107,Multiple packets dropped due to suspicious activity from IP 10.0.0.1,1,DDoS,2024-09-21 22:50:00
108,"Critical vulnerability found in system configuration, patch required",1,Insider Threat,2024-09-21 22:55:00
109,Multiple packets dropped due to suspicious activity from IP 10.0.0.1,0,None,2024-09-21 23:00:00
110,Worm detected spreading through internal subnet 172.16.0.0/24,1,ARP Spoofing,2024-09-21 23:05:00
111,Detected SQL injection attempt on website query /login.php,1,Phishing,2024-09-21 23:10:00
112,Normal traffic from 192.168.0.1 to 192.168.0.10 on port 443,1,Privilege Escalation,2024-09-21 23:15:00
113,Detected ARP spoofing attempt on internal network from 192.168.10.2,1,ARP Spoofing,2024-09-21 23:20:00
114,Standard GET request on port 80 from 172.16.0.5 to 172.16.0.7,1,Privilege Escalation,2024-09-21 23:25:00
115,"Spear phishing email received by employee, flagged for investigation",1,Insider Threat,2024-09-21 23:30:00
116,"Critical vulnerability found in system configuration, patch required",1,DDoS,2024-09-21 23:35:00
117,Detected unauthorized software installation on company workstation,1,SSL Vulnerability,2024-09-21 23:40:00
118,Internal user attempted to access restricted file server from port 22,1,ARP Spoofing,2024-09-21 23:45:00
119,Unusually high bandwidth usage detected between internal servers,1,ARP Spoofing,2024-09-21 23:50:00
120,Worm detected spreading through internal subnet 172.16.0.0/24,1,Sensitive Data Leak,2024-09-21 23:55:00
121,Unencrypted sensitive data transmission detected from port 25 to port 587,1,Port Scanning,2024-09-22 00:00:00
122,SSL certificate expired for web service hosted on 203.0.113.20,1,Malware,2024-09-22 00:05:00
123,Excessive port scanning activity from IP 203.0.113.42 to multiple services,1,ARP Spoofing,2024-09-22 00:10:00
124,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,Brute Force,2024-09-22 00:15:00
125,Unauthorized login attempt detected from 203.0.113.5 to server 198.51.100.1,1,SSL Vulnerability,2024-09-22 00:20:00
126,Suspicious login detected at an unusual hour from 192.168.1.101,1,ARP Spoofing,2024-09-22 00:25:00
127,"Incoming request on port 8080, multiple failed login attempts detected",1,Ransomware,2024-09-22 00:30:00
128,Malicious script execution attempt detected on /admin panel,1,Reconnaissance,2024-09-22 00:35:00
129,Standard GET request on port 80 from 172.16.0.5 to 172.16.0.7,1,Brute Force,2024-09-22 00:40:00
130,Unusually high bandwidth usage detected between internal servers,1,Malware,2024-09-22 00:45:00
131,Traffic spike on port 443 with unusual packet sizes from 162.243.58.60,1,Ransomware,2024-09-22 00:50:00
132,Data leakage prevention alert triggered by outbound sensitive data,1,Port Scanning,2024-09-22 00:55:00
133,Heavy traffic detected from 10.10.10.2 to multiple destinations (possible DDoS),1,Malware,2024-09-22 01:00:00
134,Failed SSH login attempt from IP 45.33.32.156 with multiple retries,1,Unauthorized Access,2024-09-22 01:05:00
135,Worm detected spreading through internal subnet 172.16.0.0/24,1,Worm,2024-09-22 01:10:00
136,Normal traffic from 192.168.0.1 to 192.168.0.10 on port 443,1,Malware,2024-09-22 01:15:00
137,Heavy traffic detected from 10.10.10.2 to multiple destinations (possible DDoS),1,Malware,2024-09-22 01:20:00
138,Detected SQL injection attempt on website query /login.php,1,Privilege Escalation,2024-09-22 01:25:00
139,Multiple packets dropped due to suspicious activity from IP 10.0.0.1,1,Insider Threat,2024-09-22 01:30:00
140,Detected unauthorized software installation on company workstation,1,Unauthorized Access,2024-09-22 01:35:00
141,Detected SQL injection attempt on website query /login.php,1,Phishing,2024-09-22 01:40:00
142,"Incoming request on port 8080, multiple failed login attempts detected",1,Phishing,2024-09-22 01:45:00
143,Failed SSH login attempt from IP 45.33.32.156 with multiple retries,1,SSL Vulnerability,2024-09-22 01:50:00
144,"Incoming request on port 8080, multiple failed login attempts detected",1,ARP Spoofing,2024-09-22 01:55:00
145,Unencrypted sensitive data transmission detected from port 25 to port 587,1,DDoS,2024-09-22 02:00:00
146,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,Port Scanning,2024-09-22 02:05:00
147,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,Brute Force,2024-09-22 02:10:00
148,Detected SQL injection attempt on website query /login.php,1,SSL Vulnerability,2024-09-22 02:15:00
149,Multiple packets dropped due to suspicious activity from IP 10.0.0.1,1,Reconnaissance,2024-09-22 02:20:00
150,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,Phishing,2024-09-22 02:25:00
151,"Critical vulnerability found in system configuration, patch required",1,DDoS,2024-09-22 02:30:00
152,Suspicious login detected at an unusual hour from 192.168.1.101,1,Packet Flooding,2024-09-22 02:35:00
153,Internal user attempted to access restricted file server from port 22,1,Packet Flooding,2024-09-22 02:40:00
154,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,DDoS,2024-09-22 02:45:00
155,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,SSL Vulnerability,2024-09-22 02:50:00
156,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,0,None,2024-09-22 02:55:00
157,Multiple packets dropped due to suspicious activity from IP 10.0.0.1,1,Data Exfiltration,2024-09-22 03:00:00
158,Data exfiltration detected to external IP 13.55.112.122 via DNS tunneling,1,DDoS,2024-09-22 03:05:00
159,Unencrypted sensitive data transmission detected from port 25 to port 587,0,None,2024-09-22 03:10:00
160,"Incoming request on port 8080, multiple failed login attempts detected",1,Insider Threat,2024-09-22 03:15:00
161,Unencrypted sensitive data transmission detected from port 25 to port 587,1,Exploit,2024-09-22 03:20:00
162,Unusual outbound traffic detected from internal server to external IP 54.38.212.1,1,SSL Vulnerability,2024-09-22 03:25:00
163,Unusually high bandwidth usage detected between internal servers,1,Ransomware,2024-09-22 03:30:00
164,Worm detected spreading through internal subnet 172.16.0.0/24,1,Brute Force,2024-09-22 03:35:00
165,Detected SQL injection attempt on website query /login.php,1,Ransomware,2024-09-22 03:40:00
166,Failed SSH login attempt from IP 45.33.32.156 with multiple retries,1,SQL Injection,2024-09-22 03:45:00
167,Data exfiltration detected to external IP 13.55.112.122 via DNS tunneling,1,Phishing,2024-09-22 03:50:00
168,Multiple packets dropped due to suspicious activity from IP 10.0.0.1,1,Port Scanning,2024-09-22 03:55:00
169,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,Reconnaissance,2024-09-22 04:00:00
170,Malicious script execution attempt detected on /admin panel,1,Sensitive Data Leak,2024-09-22 04:05:00
171,Multiple packets dropped due to suspicious activity from IP 10.0.0.1,1,Port Scanning,2024-09-22 04:10:00
172,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,Packet Flooding,2024-09-22 04:15:00
173,Data exfiltration detected to external IP 13.55.112.122 via DNS tunneling,1,DDoS,2024-09-22 04:20:00
174,Excessive port scanning activity from IP 203.0.113.42 to multiple services,1,Phishing,2024-09-22 04:25:00
175,Email received with suspicious attachment from unknown source,1,Reconnaissance,2024-09-22 04:30:00
176,Detected SQL injection attempt on website query /login.php,1,Packet Flooding,2024-09-22 04:35:00
177,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Unauthorized Access,2024-09-22 04:40:00
178,Normal traffic from 192.168.0.1 to 192.168.0.10 on port 443,1,Reconnaissance,2024-09-22 04:45:00
179,"Incoming request on port 8080, multiple failed login attempts detected",1,DDoS,2024-09-22 04:50:00
180,Exploit attempt detected using outdated library version on web service,1,Port Scanning,2024-09-22 04:55:00
181,SSL certificate expired for web service hosted on 203.0.113.20,1,Ransomware,2024-09-22 05:00:00
182,Normal traffic from 192.168.0.1 to 192.168.0.10 on port 443,0,None,2024-09-22 05:05:00
183,Email received with suspicious attachment from unknown source,1,Insider Threat,2024-09-22 05:10:00
184,Malicious script execution attempt detected on /admin panel,1,Phishing,2024-09-22 05:15:00
185,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,DDoS,2024-09-22 05:20:00
186,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Port Scanning,2024-09-22 05:25:00
187,"Spear phishing email received by employee, flagged for investigation",1,Exploit,2024-09-22 05:30:00
188,Malicious script execution attempt detected on /admin panel,1,Brute Force,2024-09-22 05:35:00
189,Malicious script execution attempt detected on /admin panel,1,Port Scanning,2024-09-22 05:40:00
190,Traffic spike on port 443 with unusual packet sizes from 162.243.58.60,1,SQL Injection,2024-09-22 05:45:00
191,Failed SSH login attempt from IP 45.33.32.156 with multiple retries,1,Reconnaissance,2024-09-22 05:50:00
192,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Worm,2024-09-22 05:55:00
193,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,SSL Vulnerability,2024-09-22 06:00:00
194,"Spear phishing email received by employee, flagged for investigation",1,Malware,2024-09-22 06:05:00
195,Detected ARP spoofing attempt on internal network from 192.168.10.2,1,Data Exfiltration,2024-09-22 06:10:00
196,Normal traffic from 192.168.0.1 to 192.168.0.10 on port 443,1,Port Scanning,2024-09-22 06:15:00
197,Unusual outbound traffic detected from internal server to external IP 54.38.212.1,1,Insider Threat,2024-09-22 06:20:00
198,"Incoming request on port 8080, multiple failed login attempts detected",1,Ransomware,2024-09-22 06:25:00
199,Heavy traffic detected from 10.10.10.2 to multiple destinations (possible DDoS),1,Unauthorized Access,2024-09-22 06:30:00
200,SSL certificate expired for web service hosted on 203.0.113.20,1,SQL Injection,2024-09-22 06:35:00
201,Traffic spike on port 443 with unusual packet sizes from 162.243.58.60,1,Ransomware,2024-09-22 06:40:00
202,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,SSL Vulnerability,2024-09-22 06:45:00
203,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Brute Force,2024-09-22 06:50:00
204,Heavy traffic detected from 10.10.10.2 to multiple destinations (possible DDoS),1,Insider Threat,2024-09-22 06:55:00
205,Internal user attempted to access restricted file server from port 22,1,Worm,2024-09-22 07:00:00
206,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Ransomware,2024-09-22 07:05:00
207,Worm detected spreading through internal subnet 172.16.0.0/24,1,Ransomware,2024-09-22 07:10:00
208,Data leakage prevention alert triggered by outbound sensitive data,1,Sensitive Data Leak,2024-09-22 07:15:00
209,Detected SQL injection attempt on website query /login.php,1,Port Scanning,2024-09-22 07:20:00
210,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Packet Flooding,2024-09-22 07:25:00
211,Unauthorized privilege escalation attempt detected on 10.0.0.3,0,None,2024-09-22 07:30:00
212,Standard GET request on port 80 from 172.16.0.5 to 172.16.0.7,1,SQL Injection,2024-09-22 07:35:00
213,Excessive port scanning activity from IP 203.0.113.42 to multiple services,1,Port Scanning,2024-09-22 07:40:00
214,Data exfiltration detected to external IP 13.55.112.122 via DNS tunneling,1,SQL Injection,2024-09-22 07:45:00
215,Data exfiltration detected to external IP 13.55.112.122 via DNS tunneling,1,Ransomware,2024-09-22 07:50:00
216,Unencrypted sensitive data transmission detected from port 25 to port 587,1,Port Scanning,2024-09-22 07:55:00
217,Normal traffic from 192.168.0.1 to 192.168.0.10 on port 443,1,Worm,2024-09-22 08:00:00
218,Unusual traffic pattern detected on internal database server,1,SSL Vulnerability,2024-09-22 08:05:00
219,Traffic spike on port 443 with unusual packet sizes from 162.243.58.60,1,SSL Vulnerability,2024-09-22 08:10:00
220,Detected unauthorized software installation on company workstation,1,Sensitive Data Leak,2024-09-22 08:15:00
221,Normal traffic from 192.168.0.1 to 192.168.0.10 on port 443,1,DDoS,2024-09-22 08:20:00
222,Heavy traffic detected from 10.10.10.2 to multiple destinations (possible DDoS),1,Exploit,2024-09-22 08:25:00
223,Malicious script execution attempt detected on /admin panel,1,Worm,2024-09-22 08:30:00
224,Malicious script execution attempt detected on /admin panel,1,Ransomware,2024-09-22 08:35:00
225,Suspicious login detected at an unusual hour from 192.168.1.101,1,Reconnaissance,2024-09-22 08:40:00
226,Email received with suspicious attachment from unknown source,1,SSL Vulnerability,2024-09-22 08:45:00
227,"Network probe detected from IP 185.86.151.11, likely reconnaissance activity",1,Worm,2024-09-22 08:50:00
228,Normal traffic from 192.168.0.1 to 192.168.0.10 on port 443,1,Data Exfiltration,2024-09-22 08:55:00
229,Detected ARP spoofing attempt on internal network from 192.168.10.2,1,Packet Flooding,2024-09-22 09:00:00
230,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Exploit,2024-09-22 09:05:00
231,Heavy traffic detected from 10.10.10.2 to multiple destinations (possible DDoS),1,Malware,2024-09-22 09:10:00
232,Data leakage prevention alert triggered by outbound sensitive data,1,Ransomware,2024-09-22 09:15:00
233,Suspicious login detected at an unusual hour from 192.168.1.101,1,Data Exfiltration,2024-09-22 09:20:00
234,Failed SSH login attempt from IP 45.33.32.156 with multiple retries,1,Malware,2024-09-22 09:25:00
235,Unencrypted sensitive data transmission detected from port 25 to port 587,1,Data Exfiltration,2024-09-22 09:30:00
236,Heavy traffic detected from 10.10.10.2 to multiple destinations (possible DDoS),1,Reconnaissance,2024-09-22 09:35:00
237,"Network probe detected from IP 185.86.151.11, likely reconnaissance activity",1,SQL Injection,2024-09-22 09:40:00
238,Excessive port scanning activity from IP 203.0.113.42 to multiple services,1,Packet Flooding,2024-09-22 09:45:00
239,Standard GET request on port 80 from 172.16.0.5 to 172.16.0.7,1,SSL Vulnerability,2024-09-22 09:50:00
240,Failed SSH login attempt from IP 45.33.32.156 with multiple retries,1,Privilege Escalation,2024-09-22 09:55:00
241,Heavy traffic detected from 10.10.10.2 to multiple destinations (possible DDoS),1,Insider Threat,2024-09-22 10:00:00
242,Malicious script execution attempt detected on /admin panel,1,SSL Vulnerability,2024-09-22 10:05:00
243,Unusual outbound traffic detected from internal server to external IP 54.38.212.1,0,None,2024-09-22 10:10:00
244,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Insider Threat,2024-09-22 10:15:00
245,Unencrypted sensitive data transmission detected from port 25 to port 587,1,Port Scanning,2024-09-22 10:20:00
246,Detected SQL injection attempt on website query /login.php,1,Malware,2024-09-22 10:25:00
247,Standard GET request on port 80 from 172.16.0.5 to 172.16.0.7,1,Data Exfiltration,2024-09-22 10:30:00
248,Unusual traffic pattern detected on internal database server,1,Data Exfiltration,2024-09-22 10:35:00
249,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Ransomware,2024-09-22 10:40:00
250,Failed SSH login attempt from IP 45.33.32.156 with multiple retries,1,Malware,2024-09-22 10:45:00
251,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Privilege Escalation,2024-09-22 10:50:00
252,Traffic spike on port 443 with unusual packet sizes from 162.243.58.60,1,Worm,2024-09-22 10:55:00
253,Heavy traffic detected from 10.10.10.2 to multiple destinations (possible DDoS),1,Ransomware,2024-09-22 11:00:00
254,SSL certificate expired for web service hosted on 203.0.113.20,1,DDoS,2024-09-22 11:05:00
255,Unusual outbound traffic detected from internal server to external IP 54.38.212.1,1,Port Scanning,2024-09-22 11:10:00
256,Worm detected spreading through internal subnet 172.16.0.0/24,1,Phishing,2024-09-22 11:15:00
257,Traffic spike on port 443 with unusual packet sizes from 162.243.58.60,1,Insider Threat,2024-09-22 11:20:00
258,Unusually high bandwidth usage detected between internal servers,1,Worm,2024-09-22 11:25:00
259,Detected ARP spoofing attempt on internal network from 192.168.10.2,0,None,2024-09-22 11:30:00
260,"Incoming request on port 8080, multiple failed login attempts detected",1,Unauthorized Access,2024-09-22 11:35:00
261,Unusual traffic pattern detected on internal database server,1,Sensitive Data Leak,2024-09-22 11:40:00
262,SSL certificate expired for web service hosted on 203.0.113.20,1,SQL Injection,2024-09-22 11:45:00
263,Email received with suspicious attachment from unknown source,1,DDoS,2024-09-22 11:50:00
264,Internal user attempted to access restricted file server from port 22,1,DDoS,2024-09-22 11:55:00
265,Unusual traffic pattern detected on internal database server,1,Data Exfiltration,2024-09-22 12:00:00
266,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,Insider Threat,2024-09-22 12:05:00
267,Data leakage prevention alert triggered by outbound sensitive data,1,Insider Threat,2024-09-22 12:10:00
268,Worm detected spreading through internal subnet 172.16.0.0/24,1,Ransomware,2024-09-22 12:15:00
269,Detected SQL injection attempt on website query /login.php,1,Privilege Escalation,2024-09-22 12:20:00
270,"Incoming request on port 8080, multiple failed login attempts detected",1,Unauthorized Access,2024-09-22 12:25:00
271,Failed SSH login attempt from IP 45.33.32.156 with multiple retries,1,Privilege Escalation,2024-09-22 12:30:00
272,Unusual outbound traffic detected from internal server to external IP 54.38.212.1,1,Phishing,2024-09-22 12:35:00
273,SSL certificate expired for web service hosted on 203.0.113.20,1,Unauthorized Access,2024-09-22 12:40:00
274,Email received with suspicious attachment from unknown source,1,Packet Flooding,2024-09-22 12:45:00
275,Email received with suspicious attachment from unknown source,0,None,2024-09-22 12:50:00
276,Traffic spike on port 443 with unusual packet sizes from 162.243.58.60,0,None,2024-09-22 12:55:00
277,Unencrypted sensitive data transmission detected from port 25 to port 587,1,Port Scanning,2024-09-22 13:00:00
278,"Spear phishing email received by employee, flagged for investigation",1,Ransomware,2024-09-22 13:05:00
279,Unusual outbound traffic detected from internal server to external IP 54.38.212.1,1,Insider Threat,2024-09-22 13:10:00
280,Data leakage prevention alert triggered by outbound sensitive data,1,SQL Injection,2024-09-22 13:15:00
281,Exploit attempt detected using outdated library version on web service,1,DDoS,2024-09-22 13:20:00
282,Standard GET request on port 80 from 172.16.0.5 to 172.16.0.7,1,Brute Force,2024-09-22 13:25:00
283,Unusually high bandwidth usage detected between internal servers,1,Reconnaissance,2024-09-22 13:30:00
